,,,Base,Peak
,,,max,max
Company,EnabledChips,CPU0,,
Cisco Systems,2,Intel Xeon Gold 5118,82.7,83.8
Cisco Systems,2,Intel Xeon Gold 5120,88.4,89.3
Cisco Systems,2,Intel Xeon Gold 6132,103.0,104
Cisco Systems,2,Intel Xeon Gold 6146,106.0,108
Cisco Systems,2,Intel Xeon Gold 6150,117.0,118
Cisco Systems,2,Intel Xeon Gold 6154,121.0,122
Cisco Systems,2,Intel Xeon Platinum 8156,54.7,55.6
Cisco Systems,2,Intel Xeon Platinum 8158,104.0,105
Cisco Systems,2,Intel Xeon Platinum 8176,125.0,126
Cisco Systems,2,Intel Xeon Platinum 8180,132.0,Not Run
Cisco Systems,4,Intel Xeon Gold 6140,142.0,144
Cisco Systems,4,Intel Xeon Platinum 8158,138.0,139
Cisco Systems,4,Intel Xeon Platinum 8170,176.0,176
Cisco Systems,4,Intel Xeon Platinum 8180,192.0,Not Run
Dell Inc.,4,Intel Xeon Gold 6144,135.0,137
Dell Inc.,4,Intel Xeon Platinum 8153,139.0,141
Dell Inc.,4,Intel Xeon Platinum 8156,87.0,87.7
Dell Inc.,4,Intel Xeon Platinum 8158,148.0,150
Dell Inc.,4,Intel Xeon Platinum 8160,171.0,173
Dell Inc.,4,Intel Xeon Platinum 8164,172.0,172
Dell Inc.,4,Intel Xeon Platinum 8168,183.0,183
Dell Inc.,4,Intel Xeon Platinum 8170,175.0,174
Dell Inc.,4,Intel Xeon Platinum 8176,180.0,181
Dell Inc.,4,Intel Xeon Platinum 8180,189.0,188
HPE,2,Intel Xeon E5-2699 v4,6.16,7.61
HPE,2,Intel Xeon Gold 5122,54.9,Not Run
HPE,2,Intel Xeon Gold 6126,94.7,Not Run
HPE,2,Intel Xeon Gold 6128,72.3,Not Run
HPE,2,Intel Xeon Gold 6130,105.0,Not Run
HPE,2,Intel Xeon Gold 6132,102.0,Not Run
HPE,2,Intel Xeon Gold 6134,85.8,Not Run
HPE,2,Intel Xeon Gold 6136,103.0,Not Run
HPE,2,Intel Xeon Gold 6138,110.0,Not Run
HPE,2,Intel Xeon Gold 6140,110.0,Not Run
HPE,2,Intel Xeon Gold 6142,112.0,Not Run
HPE,2,Intel Xeon Gold 6143,116.0,Not Run
HPE,2,Intel Xeon Gold 6144,88.2,Not Run
HPE,2,Intel Xeon Gold 6146,105.0,Not Run
HPE,2,Intel Xeon Gold 6148,116.0,Not Run
HPE,2,Intel Xeon Gold 6150,115.0,Not Run
HPE,2,Intel Xeon Gold 6152,114.0,Not Run
HPE,2,Intel Xeon Gold 6154,120.0,Not Run
HPE,2,Intel Xeon Platinum 8153,95.8,Not Run
HPE,2,Intel Xeon Platinum 8156,55.0,Not Run
HPE,2,Intel Xeon Platinum 8158,102.0,Not Run
HPE,2,Intel Xeon Platinum 8160,121.0,Not Run
HPE,2,Intel Xeon Platinum 8164,119.0,Not Run
HPE,2,Intel Xeon Platinum 8168,130.0,Not Run
HPE,2,Intel Xeon Platinum 8170,122.0,Not Run
HPE,2,Intel Xeon Platinum 8176,124.0,Not Run
HPE,2,Intel Xeon Platinum 8180,132.0,Not Run
HPE,2,Intel Xeon Platinum 8180M,132.0,Not Run
HPE,2,Intel Xeon Silver 4108,56.3,Not Run
HPE,2,Intel Xeon Silver 4110,60.0,Not Run
HPE,2,Intel Xeon Silver 4112,41.4,Not Run
HPE,2,Intel Xeon Silver 4114,70.2,Not Run
HPE,2,Intel Xeon Silver 4116,76.4,Not Run
HPE,4,Intel Xeon Platinum 8153,137.0,Not Run
HPE,4,Intel Xeon Platinum 8156,86.7,Not Run
HPE,4,Intel Xeon Platinum 8158,150.0,Not Run
HPE,4,Intel Xeon Platinum 8160,168.0,Not Run
HPE,16,Intel Xeon E7-8890 v4,5.37,6.66
Huawei,2,Intel Xeon Platinum 8180,134.0,136
Lenovo Global Technology,1,Intel Xeon Platinum 8180,85.2,85.7
Lenovo Global Technology,2,Intel Xeon Gold 6126T,94.0,95.1
Lenovo Global Technology,2,Intel Xeon Gold 6138,108.0,109
Lenovo Global Technology,2,Intel Xeon Gold 6150,116.0,117
Lenovo Global Technology,2,Intel Xeon Gold 6152,113.0,114
Lenovo Global Technology,2,Intel Xeon Platinum 8160,119.0,120
Lenovo Global Technology,2,Intel Xeon Platinum 8164,118.0,120
Lenovo Global Technology,2,Intel Xeon Platinum 8170,121.0,121
Lenovo Global Technology,2,Intel Xeon Platinum 8180,133.0,133
Lenovo Global Technology,2,Intel Xeon Silver 4110,58.2,59.1
Lenovo Global Technology,2,Intel Xeon Silver 4114,67.7,68.7
Lenovo Global Technology,4,Intel Xeon Gold 6140,157.0,157
Lenovo Global Technology,4,Intel Xeon Platinum 8168,185.0,187
Lenovo Global Technology,4,Intel Xeon Platinum 8170,175.0,177
Lenovo Global Technology,4,Intel Xeon Platinum 8170M,176.0,177
Lenovo Global Technology,4,Intel Xeon Platinum 8180,191.0,191
Lenovo Global Technology,8,Intel Xeon Platinum 8180,153.0,150
Oracle Corporation,4,UltraSPARC IV+,1.0,Not Run
